id	answer
1	"Great Pay, Flexible Hours, Unlimited Vacation. Health Care, 401K, nothing else really"
2	Great staff and very helpful. Fair compensation package. As a relatively new employee I have not experienced any negative aspects at this time.
3	"Great benefits, working condition and people! Must make a 30 mile commute."
4	Corporate is slow in taking decisions
5	"High health care cost, high employee cost of company vehicle with minimal choice, raises cost of employee vehicle mid lease instead of at time of car choice - different vehicles have different employe"
6	Different businesses / strong financial performance Silo attitude in businesses. Benefits reduced over the year
7	"Good benefits, great teamwork, flexible employer. Not all organizations align to the same goals. This creates issues when trying to implement projects."
8	After being acquired by HSM the culture completely changed. Management openly said they do not care if people leave...get on the bus or get off is something that was said often.
9	"Excellent pay for new hires Diminishing Benefits, Managers frequently changing"
10	"Usually busy. Much needed employment for the area. Good pay. Lots of changes with a great demand on supervion and labor, but the lack of follow through is hard. Much needed improvment."
11	Some great leaders with experience No work from home. Drive around cost cutting
12	Wonderful Place to work and also a great job security Not much help can be got from oldies
13	-Great company to start a career out of college-Interesting work-They're starting to hire young eager people-Competitive entry-level pay-401k Matching increased-The people
14	"Lots of work, need more people! Promotions can feel slow. Benefits aren't what they used to be. Some policy updates seem to punish retirees. No EV charging available."
15	"Work from home, travel to. Other states for projects Depends on who. You are reporting to some people think estimating is a joke"
16	"So much to say here. Honeywell wants to become a first class software company. Having worked for a couple of Silicon Valley startups, Honeywell is out of their league. They need to hire a leader who u"
17	Base cost of medical for individual manageable Deductible off the charts and family costs very high
18	"Work from home, great people Some work requirements were not discussed during interview."
19	Frequent furloughs. The stock price is high at the expense of employee income (furloughs) and long hours. Ratings are somewhat based on if you are in the right clique.
20	Awesome staff great people love food Don't have any. But really like food.
21	not sure on the pros never like the work environment !
22	they have good benefits and work with you limited opportunities in some areas
23	"Benefits have been gutted over the last 5-10 years, and they are no longer competitive."
24	Good learning and interesting product. Corporate decisions impacting morale.
25	Supervisors are caring and very smart. I learned a lot from everyone I worked with. Great culture. On-call shifts were my least favorite.
26	"Fellow Co-Workers, Job Opportunities and have always had great managers Would like to see more training and development"
27	good company for young bloodwilling to train new gradvery nice environment with engineers around management is badboss decides who get promoted
28	Sadly the present CEO and his staff do not understand the difference between data driven digital products and standard software development. One bad decision after another in terms of organizational s
29	The CEO does not care about the employees and I'm shocked that his rating is at 65%. You can't ask a question without feeling belittled. The employees have not seen any benefit to the Trump tax reduct
30	"good benefits - insurance, vacation and 401K match. large company with lots of red tape that slows job effectiveness."
31	Robust Business practices for aerospace benefits decline year over year
32	"Constant layoffs, incompetent management, low pay, very little merit increases, don't fall for the un-limited vacation policy. you can't take time when you want to. Benefits are absolutely terrible, $"
33	"Pay in very competitive, good work environment Place is going to crap. Slowly taking away benefits to make the company to investors"
34	Room for growth and advancement. Salaries are not competitive. Benefits and policy constantly changing. Corporate micro management won't allow you to run your site.
35	A lot of hours. Blood sucking management. A bunch of yes men who have no skill.
